Gaol Walk	(0)
Fitzgerald's Park	(3)
Bandfield	(0)
Dyke Parade	(0)
Mercy Hospital	(0)
St. Fin Barre's Bridge	(0)
Pope's Quay	(5)
North Main St.	(0)
Grattan St.	(0)
Wandesford Quay	(0)
Bishop St.	(0)
Camden Quay	(7)
Corn Market St.	(0)
Lapp's Quay	(0)
St. Patricks St.	(0)
South Main St.	(1)
Grand Parade	(0)
Peace Park	(0)
South Gate Bridge	(9)
Coburg St.	(0)
Emmet Place	(0)
South Mall	(8)
College of Commerce	(0)
Father Mathew Statue	(0)
Cork School of Music	(0)
Brian Boru Bridge	(15)
Bus Station	(0)
Cork City Hall	(0)
Lower Glanmire Rd.	(0)
Clontarf Street	(4)
Kent Station	(2)
