Gaol Walk	(2)
Fitzgerald's Park	(3)
Bandfield	(5)
Dyke Parade	(2)
Mercy Hospital	(1)
St. Fin Barre's Bridge	(0)
Pope's Quay	(0)
North Main St.	(0)
Grattan St.	(0)
Wandesford Quay	(1)
Bishop St.	(0)
Camden Quay	(1)
Corn Market St.	(0)
Lapp's Quay	(0)
St. Patricks St.	(0)
South Main St.	(0)
Grand Parade	(3)
Peace Park	(0)
South Gate Bridge	(3)
Coburg St.	(0)
Emmet Place	(0)
South Mall	(0)
College of Commerce	(0)
Father Mathew Statue	(0)
Cork School of Music	(0)
Brian Boru Bridge	(6)
Bus Station	(0)
Cork City Hall	(0)
Lower Glanmire Rd.	(0)
Clontarf Street	(12)
Kent Station	(3)
