Gaol Walk	(13)
Fitzgerald's Park	(20)
Bandfield	(13)
Dyke Parade	(0)
Mercy Hospital	(20)
St. Fin Barre's Bridge	(0)
Pope's Quay	(20)
North Main St.	(0)
Grattan St.	(13)
Wandesford Quay	(0)
Bishop St.	(0)
Camden Quay	(26)
Corn Market St.	(0)
Lapp's Quay	(33)
St. Patricks St.	(0)
South Main St.	(50)
Grand Parade	(46)
Peace Park	(47)
South Gate Bridge	(2)
Coburg St.	(0)
Emmet Place	(0)
South Mall	(0)
College of Commerce	(0)
Father Mathew Statue	(0)
Cork School of Music	(0)
Brian Boru Bridge	(0)
Bus Station	(42)
Cork City Hall	(0)
Lower Glanmire Rd.	(0)
Clontarf Street	(0)
Kent Station	(0)
