Gaol Walk	(0)
Fitzgerald's Park	(35)
Bandfield	(10)
Dyke Parade	(0)
Mercy Hospital	(4)
St. Fin Barre's Bridge	(0)
Pope's Quay	(5)
North Main St.	(0)
Grattan St.	(11)
Wandesford Quay	(0)
Bishop St.	(0)
Camden Quay	(31)
Corn Market St.	(0)
Lapp's Quay	(0)
St. Patricks St.	(0)
South Main St.	(1)
Grand Parade	(7)
Peace Park	(0)
South Gate Bridge	(7)
Coburg St.	(0)
Emmet Place	(0)
College of Commerce	(0)
Father Mathew Statue	(0)
Cork School of Music	(0)
Bus Station	(0)
Cork City Hall	(0)
Lower Glanmire Rd.	(0)
Clontarf Street	(0)
Kent Station	(1)
South Mall	(0)
