Gaol Walk	(0)
Fitzgerald's Park	(18)
Bandfield	(19)
Dyke Parade	(3)
Mercy Hospital	(3)
St. Fin Barre's Bridge	(0)
Pope's Quay	(19)
North Main St.	(1)
Grattan St.	(1)
Wandesford Quay	(0)
Bishop St.	(0)
Camden Quay	(9)
Corn Market St.	(3)
Lapp's Quay	(0)
St. Patricks St.	(0)
South Main St.	(0)
Grand Parade	(0)
Peace Park	(1)
South Gate Bridge	(13)
Coburg St.	(0)
Emmet Place	(1)
South Mall	(0)
College of Commerce	(0)
Father Mathew Statue	(1)
Cork School of Music	(0)
Brian Boru Bridge	(1)
Bus Station	(1)
Cork City Hall	(0)
Lower Glanmire Rd.	(0)
Clontarf Street	(0)
Kent Station	(7)
